"","samples","mean","upper","lower","sv","rel","der","cum","sector"
"1",2,0.107603615362723,0.112610624403929,0.0998835580870299,"sites",100,NA,NA,"E"
"2",3,0.0891620933080453,0.0942252443730017,0.0827661004962542,"sites",82.8616148328167,17.138,17,"E"
"3",4,0.0774978923528207,0.0815675501024784,0.0726732529798036,"sites",72.0216435958788,10.84,28,"E"
"4",5,0.0694835940361743,0.0728712610247636,0.06490370646081,"sites",64.5736612119869,7.448,35,"E"
"5",6,0.0638048262662537,0.0669866391053523,0.0599295954661592,"sites",59.2961733220327,5.277,41,"E"
"6",7,0.0587961306873103,0.0614529485409974,0.056066036645187,"sites",54.6414081804903,4.655,45,"E"
"7",8,0.0551072605347486,0.0576978184334654,0.0518229451005033,"sites",51.2132053825389,3.428,49,"E"
"8",9,0.0521940768132608,0.0550646569767222,0.0490885700990784,"sites",48.5058765333477,2.707,51,"E"
"9",10,0.0494043163317995,0.0517447042020318,0.0467451300725714,"sites",45.9132494435819,2.593,54,"E"
"10",11,0.0471472920775559,0.0491799054362564,0.0444131282292693,"sites",43.8157137365935,2.098,56,"E"
"11",12,0.0452720007710225,0.047380563473709,0.0426851463514115,"sites",42.0729365072114,1.743,58,"E"
"12",13,0.0435901734388305,0.04558515351307,0.0410569212710976,"sites",40.5099524694328,1.563,59,"E"
"13",14,0.0419481625375308,0.0437568006686148,0.0398499891355938,"sites",38.9839713062864,1.526,61,"E"
"14",15,0.0405888738055812,0.0427594079014972,0.0384047584895732,"sites",37.7207342604237,1.263,62,"E"
"15",16,0.0392602191815995,0.0409424027201768,0.0372153685232828,"sites",36.4859666185532,1.235,64,"E"
"16",17,0.0380197369449108,0.0396931071779819,0.0359891285303924,"sites",35.3331408212906,1.153,65,"E"
"17",18,0.0370311326040134,0.0385218857503978,0.0350127022733776,"sites",34.4143944227008,0.919,66,"E"
"18",19,0.0360016335568486,0.0374941768886628,0.0339774618391466,"sites",33.457643068488,0.957,67,"E"
"19",20,0.0351207595669664,0.0365541117654852,0.0331753026287945,"sites",32.6390144500044,0.819,67,"E"
"20",2,0.287243749331093,0.289564077437928,0.28374018589052,"samples",100,NA,NA,"E"
"21",3,0.234778997341833,0.236409035705701,0.232822014373271,"samples",81.7351109949528,18.265,18,"E"
"22",4,0.203326803507827,0.204681393037829,0.201579600831434,"samples",70.7854579886648,10.95,29,"E"
"23",5,0.182024274665305,0.1834672966089,0.180710513331988,"samples",63.3692726435949,7.416,37,"E"
"24",6,0.166214357668442,0.167412236791582,0.164838590343347,"samples",57.8652653210057,5.504,42,"E"
"25",7,0.153747673156556,0.154765389212177,0.152262648268447,"samples",53.5251588640623,4.34,46,"E"
"26",8,0.143827501849278,0.144854836354291,0.142854524071419,"samples",50.0715863040397,3.454,50,"E"
"27",9,0.135670622457529,0.136624065134529,0.134592211146854,"samples",47.2318798140834,2.84,53,"E"
"28",10,0.128697478508496,0.12959430234847,0.127394556180309,"samples",44.8042746998656,2.428,55,"E"
"29",11,0.122678309513828,0.123468809982163,0.12185422130759,"samples",42.7087829759604,2.095,57,"E"
"30",12,0.117459940976151,0.118331700896246,0.116543161897426,"samples",40.8920790268478,1.817,59,"E"
"31",13,0.112902979318965,0.113830687226698,0.112014923854429,"samples",39.3056348769585,1.586,61,"E"
"32",14,0.108713726489576,0.109504322101385,0.10785100057536,"samples",37.847203548463,1.458,62,"E"
"33",15,0.105038583826038,0.105826060383368,0.104084173262331,"samples",36.5677526736933,1.279,63,"E"
"34",16,0.101708673371244,0.102299195780868,0.100995911107229,"samples",35.4084896914531,1.159,65,"E"
"35",17,0.0987019475623454,0.0992926315261338,0.0978246143910567,"samples",34.3617390429534,1.047,66,"E"
"36",18,0.095911985991345,0.0965513928318182,0.0952180073216642,"samples",33.3904519122508,0.971,67,"E"
"37",19,0.0933469281285825,0.0940111125528797,0.0926306806235794,"samples",32.4974619451112,0.893,68,"E"
"38",20,0.0910059951773325,0.0916792321450753,0.0902648115463523,"samples",31.6824980140591,0.815,68,"E"
"39",2,0.0714929234530633,0.0753631196296599,0.0652897482886408,"sites",100,NA,NA,"I"
"40",3,0.0603889077521595,0.0640696342566126,0.0569970715731839,"sites",84.4683709035988,15.532,16,"I"
"41",4,0.0523254320248232,0.0552566373683882,0.0493474071903945,"sites",73.1896661900755,11.279,27,"I"
"42",5,0.0471927167394691,0.0494458724857423,0.0449572726508968,"sites",66.0103328554639,7.179,34,"I"
"43",6,0.0433855122688576,0.0458976383123561,0.0408890430056636,"sites",60.6850443000014,5.325,39,"I"
